system:index,average_surface_temp,date,satellite,.geo
1_1_1_2_LT05_018031_19960614,288.1646843,1996-06-14,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960630,289.49429408000003,1996-06-30,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960716,293.46945134,1996-07-16,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960801,294.37864465999996,1996-08-01,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960817,295.21947758,1996-08-17,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960902,296.11841684,1996-09-02,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960918,226.53436568,1996-09-18,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19961004,268.80501902000003,1996-10-04,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19961207,265.74930914,1996-12-07,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19970108,261.44943997999997,1997-01-08,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19970209,265.78690736,1997-02-09,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19970225,269.56381946,1997-02-25,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19970329,264.63161660000003,1997-03-29,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19970414,275.99653309999997,1997-04-14,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19970430,275.68549328,1997-04-30,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
